intent,target_id,target_tag,before_class,after_class,resolved_id,confidence
"gaming addiction",CONCERN_LIF_1738,LIFESTYLE_PRESSURE,drift,exact,CONCERN_LIF_1738,54
"i struggle with gaming addiction",CONCERN_LIF_1738,LIFESTYLE_PRESSURE,drift,exact,CONCERN_LIF_1738,42
"i have trouble with gaming addiction",CONCERN_LIF_1738,LIFESTYLE_PRESSURE,drift,exact,CONCERN_LIF_1738,42
"emotional withdrawal",CONCERN_LIF_1740,ADJUSTMENT_COPING,drift,exact,CONCERN_LIF_1740,48
"i have trouble with emotional withdrawal",CONCERN_LIF_1740,ADJUSTMENT_COPING,drift,exact,CONCERN_LIF_1740,35
"comparison stress",CONCERN_LIF_1753,CONFIDENCE_SELF,drift,exact,CONCERN_LIF_1753,44
"i have trouble with comparison stress",CONCERN_LIF_1753,CONFIDENCE_SELF,drift,exact,CONCERN_LIF_1753,32
"i struggle with emotional manipulation by peers",CONCERN_LIF_1775,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1775,42
"i keep struggling with emotional manipulation by peers",CONCERN_LIF_1775,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1775,42
"i cannot manage emotional manipulation by peers",CONCERN_LIF_1775,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1775,40
"child losing interest in studies",CONCERN_LIF_1792,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LIF_1792,39
"i struggle with child losing interest in studies",CONCERN_LIF_1792,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LIF_1792,34
"i have trouble with child losing interest in studies",CONCERN_LIF_1792,ACADEMIC_COGNITIVE,drift,exact,CONCERN_LIF_1792,34
"unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,47
"i struggle with unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,38
"i have trouble with unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,38
"i keep struggling with unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,32
"i cannot manage unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,32
"i need help with unrealistic career expectations",CONCERN_LIF_1835,ACADEMIC_IDENTITY,drift,exact,CONCERN_LIF_1835,32
"i struggle with stress tolerance",CONCERN_LIF_1840,EXAMINATION_STRESS,drift,exact,CONCERN_LIF_1840,40
"i keep struggling with child becoming too influenced by peer opinions",CONCERN_LIF_1889,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1889,37
"i cannot manage child becoming too influenced by peer opinions",CONCERN_LIF_1889,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1889,37
"i need help with child becoming too influenced by peer opinions",CONCERN_LIF_1889,SOCIAL_EMOTIONAL,drift,exact,CONCERN_LIF_1889,37
"i cannot manage supporting students with weak self-confidence",CONCERN_LIF_2144,CONFIDENCE_SELF,drift,exact,CONCERN_LIF_2144,35
"i cannot manage handling students with weak academic self-awareness",CONCERN_LIF_2264,SELF_REFLECTION,drift,failure,,0
"i keep struggling with supporting students with weak academic curiosity in stem subjects",CONCERN_LIF_2280,STEM_LEARNING,drift,failure,,0
"i need help with supporting students with weak academic curiosity in stem subjects",CONCERN_LIF_2280,STEM_LEARNING,drift,failure,,0
"weak awareness of industry-relevant competencies",CONCERN_LIF_372,EMPLOYABILITY,drift,near,CONCERN_EMO_274,32
"weak confidence in workplace decision-making",CONCERN_LIF_388,THINKING_QUALITY,drift,exact,CONCERN_LIF_388,32
"i have trouble with workplace decision-making",CONCERN_LIF_388,THINKING_QUALITY,drift,exact,CONCERN_LIF_388,35
"difficulty adapting to rapid workplace changes",CONCERN_LIF_569,ADAPTIVE_LEARNING,drift,exact,CONCERN_LIF_569,42
"i have trouble with adapting to rapid workplace changes",CONCERN_LIF_569,ADAPTIVE_LEARNING,drift,exact,CONCERN_LIF_569,42
"i cannot manage adapting to rapid workplace changes",CONCERN_LIF_569,ADAPTIVE_LEARNING,drift,exact,CONCERN_LIF_569,36
"i need help with adapting to rapid workplace changes",CONCERN_LIF_569,ADAPTIVE_LEARNING,drift,exact,CONCERN_LIF_569,36
"weak ability to translate academic knowledge into execution",CONCERN_LIF_670,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_670,38
"i keep struggling with translate academic knowledge into execution",CONCERN_LIF_670,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_670,36
"i cannot manage translate academic knowledge into execution",CONCERN_LIF_670,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_670,36
"i need help with translate academic knowledge into execution",CONCERN_LIF_670,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_LIF_670,36
"i need help with emotional confidence during leadership exposure",CONCERN_LIF_757,LEADERSHIP_OWNERSHIP,drift,failure,,0
"i keep struggling with build confidence in unfamiliar work environments",CONCERN_LIF_986,WORKPLACE_ADAPTATION,drift,exact,CONCERN_LIF_986,35
"i cannot manage build confidence in unfamiliar work environments",CONCERN_LIF_986,WORKPLACE_ADAPTATION,drift,exact,CONCERN_LIF_986,35
"uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,48
"i struggle with uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,40
"i have trouble with uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,40
"i keep struggling with uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,35
"i cannot manage uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,35
"i need help with uncertainty about long-term career direction",CONCERN_LON_1557,CAREER_REFLECTION,drift,exact,CONCERN_LON_1557,35
"i need help with visibility into student leadership participation equity",CONCERN_MOT_1190,LEADERSHIP_OWNERSHIP,drift,failure,,0
"i keep struggling with student emotional wellbeing institutionally",CONCERN_MOT_1289,EMOTIONAL_REGULATION,drift,exact,CONCERN_MOT_1289,35
"i need help with building industry-relevant skills",CONCERN_MOT_13,EMPLOYABILITY,drift,exact,CONCERN_MOT_13,36
"i struggle with concept integration across subjects",CONCERN_MOT_130,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_130,41
"i have trouble with concept integration across subjects",CONCERN_MOT_130,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_130,41
"i keep struggling with concept integration across subjects",CONCERN_MOT_130,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_130,36
"i cannot manage concept integration across subjects",CONCERN_MOT_130,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_130,36
"i need help with concept integration across subjects",CONCERN_MOT_130,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_130,36
"difficulty prioritizing tasks",CONCERN_MOT_1679,DISCIPLINE_HABITS,drift,exact,CONCERN_MOT_1679,38
"i struggle with prioritizing tasks",CONCERN_MOT_1679,DISCIPLINE_HABITS,drift,exact,CONCERN_MOT_1679,38
"i have trouble with prioritizing tasks",CONCERN_MOT_1679,DISCIPLINE_HABITS,drift,exact,CONCERN_MOT_1679,38
"procrastination",CONCERN_MOT_1744,DISCIPLINE_HABITS,drift,exact,CONCERN_MOT_1744,54
"i keep struggling with child avoiding challenges",CONCERN_MOT_1811,CONFIDENCE_SELF,drift,exact,CONCERN_MOT_1811,34
"i need help with child avoiding challenges",CONCERN_MOT_1811,CONFIDENCE_SELF,drift,exact,CONCERN_MOT_1811,34
"weak real-world problem solving",CONCERN_MOT_1837,THINKING_QUALITY,drift,exact,CONCERN_MOT_1837,42
"i have trouble with real-world problem solving",CONCERN_MOT_1837,THINKING_QUALITY,drift,exact,CONCERN_MOT_1837,42
"i keep struggling with real-world problem solving",CONCERN_MOT_1837,THINKING_QUALITY,drift,exact,CONCERN_MOT_1837,36
"i cannot manage real-world problem solving",CONCERN_MOT_1837,THINKING_QUALITY,drift,exact,CONCERN_MOT_1837,36
"i need help with real-world problem solving",CONCERN_MOT_1837,THINKING_QUALITY,drift,exact,CONCERN_MOT_1837,36
"fear of missing opportunities",CONCERN_MOT_1855,EXAMINATION_STRESS,drift,exact,CONCERN_MOT_1855,36
"i cannot manage excessive dependency on shortcuts",CONCERN_MOT_1858,ACADEMIC_COGNITIVE,drift,exact,CONCERN_MOT_1858,38
"i keep struggling with child losing interest in cultural identity",CONCERN_MOT_1861,ACADEMIC_IDENTITY,drift,exact,CONCERN_MOT_1861,38
"i cannot manage child losing interest in cultural identity",CONCERN_MOT_1861,ACADEMIC_IDENTITY,drift,exact,CONCERN_MOT_1861,38
"i need help with child losing interest in cultural identity",CONCERN_MOT_1861,ACADEMIC_IDENTITY,drift,exact,CONCERN_MOT_1861,38
"i struggle with curiosity & exploration",CONCERN_MOT_1946,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_1946,38
"i have trouble with curiosity & exploration",CONCERN_MOT_1946,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_1946,38
"difficulty managing academic pressure",CONCERN_MOT_1964,EXAMINATION_STRESS,drift,exact,CONCERN_MOT_1964,29
"i have trouble with academic pressure",CONCERN_MOT_1964,EXAMINATION_STRESS,drift,near,CONCERN_ACA_1731,30
"weak competitive readiness",CONCERN_MOT_1975,COMPETITIVE_EXAM,drift,exact,CONCERN_MOT_1975,38
"i have trouble with competitive readiness",CONCERN_MOT_1975,COMPETITIVE_EXAM,drift,exact,CONCERN_MOT_1975,36
"weak adaptability to academic changes",CONCERN_MOT_1986,LEARNING_ADAPTABILITY,drift,exact,CONCERN_MOT_1986,40
"i have trouble with adaptability to academic changes",CONCERN_MOT_1986,LEARNING_ADAPTABILITY,drift,exact,CONCERN_MOT_1986,39
"i cannot manage adaptability to academic changes",CONCERN_MOT_1986,LEARNING_ADAPTABILITY,drift,exact,CONCERN_MOT_1986,33
"i need help with adaptability to academic changes",CONCERN_MOT_1986,LEARNING_ADAPTABILITY,drift,exact,CONCERN_MOT_1986,33
"weak academic ownership",CONCERN_MOT_1992,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_1992,34
"i have trouble with academic momentum",CONCERN_MOT_2099,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2099,34
"i have trouble with learning reflection skills",CONCERN_MOT_2100,SELF_REFLECTION,drift,exact,CONCERN_MOT_2100,38
"i cannot manage learning reflection skills",CONCERN_MOT_2100,SELF_REFLECTION,drift,exact,CONCERN_MOT_2100,32
"i need help with learning reflection skills",CONCERN_MOT_2100,SELF_REFLECTION,drift,exact,CONCERN_MOT_2100,32
"i cannot manage supporting students with weak self-regulation skills",CONCERN_MOT_2161,DISCIPLINE_HABITS,drift,exact,CONCERN_MOT_2161,36
"i need help with students with weak writing speed",CONCERN_MOT_2181,EXAMINATION_READINESS,drift,exact,CONCERN_MOT_2181,36
"i keep struggling with managing students with weak academic follow-through",CONCERN_MOT_2214,DISCIPLINE_HABITS,drift,near,CONCERN_LEA_1246,15
"i need help with managing students with weak academic follow-through",CONCERN_MOT_2214,DISCIPLINE_HABITS,drift,failure,,0
"i need help with supporting students with weak exam strategy skills",CONCERN_MOT_2220,EXAMINATION_READINESS,drift,failure,,0
"i keep struggling with supporting students with weak cognitive flexibility",CONCERN_MOT_2223,LEARNING_ADAPTABILITY,drift,exact,CONCERN_MOT_2223,31
"i need help with supporting students with weak cognitive flexibility",CONCERN_MOT_2223,LEARNING_ADAPTABILITY,drift,failure,,0
"i keep struggling with managing students with weak multi-step problem solving skills",CONCERN_MOT_2236,THINKING_QUALITY,drift,failure,,0
"i cannot manage managing students with weak multi-step problem solving skills",CONCERN_MOT_2236,THINKING_QUALITY,drift,exact,CONCERN_MOT_2236,35
"i struggle with multiple academic expectations",CONCERN_MOT_2326,ADJUSTMENT_COPING,drift,exact,CONCERN_MOT_2326,37
"i have trouble with multiple academic expectations",CONCERN_MOT_2326,ADJUSTMENT_COPING,drift,exact,CONCERN_MOT_2326,37
"i keep struggling with multiple academic expectations",CONCERN_MOT_2326,ADJUSTMENT_COPING,drift,exact,CONCERN_MOT_2326,31
"i need help with multiple academic expectations",CONCERN_MOT_2326,ADJUSTMENT_COPING,drift,exact,CONCERN_MOT_2326,31
"i keep struggling with students depending entirely on external motivation",CONCERN_MOT_2393,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2393,38
"i cannot manage students depending entirely on external motivation",CONCERN_MOT_2393,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2393,38
"i need help with students depending entirely on external motivation",CONCERN_MOT_2393,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2393,38
"i struggle with motivation after repeated failures",CONCERN_MOT_2395,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2395,41
"i have trouble with motivation after repeated failures",CONCERN_MOT_2395,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2395,41
"i keep struggling with motivation after repeated failures",CONCERN_MOT_2395,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2395,36
"i cannot manage motivation after repeated failures",CONCERN_MOT_2395,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2395,36
"i need help with motivation after repeated failures",CONCERN_MOT_2395,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2395,36
"i keep struggling with emotional recovery after career-related rejections",CONCERN_MOT_240,EXAMINATION_STRESS,drift,exact,CONCERN_MOT_240,41
"i keep struggling with alignment between academic effort and personal goals",CONCERN_MOT_2400,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2400,35
"i cannot manage alignment between academic effort and personal goals",CONCERN_MOT_2400,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2400,35
"i need help with alignment between academic effort and personal goals",CONCERN_MOT_2400,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2400,35
"i need help with building long-term academic commitment",CONCERN_MOT_2401,MOTIVATION_VALUES,drift,exact,CONCERN_MOT_2401,37
"weak adaptability to academic changes",CONCERN_MOT_2474,LEARNING_ADAPTABILITY,drift,near,CONCERN_MOT_1986,40
"i have trouble with adaptability to academic changes",CONCERN_MOT_2474,LEARNING_ADAPTABILITY,drift,near,CONCERN_MOT_1986,39
"i cannot manage adaptability to academic changes",CONCERN_MOT_2474,LEARNING_ADAPTABILITY,drift,near,CONCERN_MOT_1986,33
"i need help with adaptability to academic changes",CONCERN_MOT_2474,LEARNING_ADAPTABILITY,drift,near,CONCERN_MOT_1986,33
"weak academic ownership",CONCERN_MOT_2480,MOTIVATION_VALUES,drift,near,CONCERN_MOT_1992,34
"weak understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,42
"i struggle with understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,41
"i have trouble with understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,41
"i keep struggling with understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,36
"i cannot manage understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,36
"i need help with understanding of workplace accountability standards",CONCERN_MOT_408,EMPLOYABILITY,drift,exact,CONCERN_MOT_408,36
"i keep struggling with handling workplace competition",CONCERN_MOT_438,CONFIDENCE_SELF,drift,exact,CONCERN_MOT_438,35
"i cannot manage handling workplace competition",CONCERN_MOT_438,CONFIDENCE_SELF,drift,exact,CONCERN_MOT_438,34
"i keep struggling with public speaking during leadership forums",CONCERN_MOT_590,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_MOT_590,34
"i cannot manage public speaking during leadership forums",CONCERN_MOT_590,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_MOT_590,34
"i need help with public speaking during leadership forums",CONCERN_MOT_590,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_MOT_590,34
"i need help with long-term learning progression",CONCERN_ORG_1279,ACADEMIC_GROWTH,drift,exact,CONCERN_ORG_1279,34
"weak visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,41
"i struggle with visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,40
"i have trouble with visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,40
"i keep struggling with visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,34
"i cannot manage visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,34
"i need help with visibility into student behavioral pattern changes",CONCERN_ORG_1296,DISCIPLINE_HABITS,drift,exact,CONCERN_ORG_1296,34
"i keep struggling with hidden emotional distress behind good performance",CONCERN_OVE_2316,OVER_COMPLIANCE,drift,exact,CONCERN_OVE_2316,39
"i cannot manage uncertainty about future-proof careers",CONCERN_PER_1401,FUTURE_WORKFORCE,drift,exact,CONCERN_PER_1401,38
"i struggle with resilience after setbacks",CONCERN_PER_1411,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1411,39
"i have trouble with resilience after setbacks",CONCERN_PER_1411,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1411,39
"i keep struggling with resilience after setbacks",CONCERN_PER_1411,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1411,33
"i cannot manage resilience after setbacks",CONCERN_PER_1411,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1411,33
"i need help with resilience after setbacks",CONCERN_PER_1411,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1411,33
"i have trouble with emotional regulation during conflicts",CONCERN_PER_1414,STUDENT_BEHAVIOUR,drift,exact,CONCERN_PER_1414,37
"i keep struggling with emotional regulation during conflicts",CONCERN_PER_1414,STUDENT_BEHAVIOUR,drift,exact,CONCERN_PER_1414,32
"i struggle with self-awareness about strengths and weaknesses",CONCERN_PER_1431,PERSONAL_INSIGHT,drift,exact,CONCERN_PER_1431,43
"i have trouble with self-awareness about strengths and weaknesses",CONCERN_PER_1431,PERSONAL_INSIGHT,drift,exact,CONCERN_PER_1431,43
"i keep struggling with self-awareness about strengths and weaknesses",CONCERN_PER_1431,PERSONAL_INSIGHT,drift,exact,CONCERN_PER_1431,37
"i cannot manage self-awareness about strengths and weaknesses",CONCERN_PER_1431,PERSONAL_INSIGHT,drift,exact,CONCERN_PER_1431,37
"i need help with self-awareness about strengths and weaknesses",CONCERN_PER_1431,PERSONAL_INSIGHT,drift,exact,CONCERN_PER_1431,37
"excessive comparison with peers",CONCERN_PER_1432,EMOTIONAL_WELLBEING,drift,exact,CONCERN_PER_1432,47
"i struggle with excessive comparison with peers",CONCERN_PER_1432,EMOTIONAL_WELLBEING,drift,exact,CONCERN_PER_1432,37
"i have trouble with excessive comparison with peers",CONCERN_PER_1432,EMOTIONAL_WELLBEING,drift,exact,CONCERN_PER_1432,37
"i keep struggling with excessive comparison with peers",CONCERN_PER_1432,EMOTIONAL_WELLBEING,drift,exact,CONCERN_PER_1432,32
"i have trouble with adaptability to changing environments",CONCERN_PER_1518,ADAPTIVE_DEVELOPMENT,drift,exact,CONCERN_PER_1518,39
"i keep struggling with adaptability to changing environments",CONCERN_PER_1518,ADAPTIVE_DEVELOPMENT,drift,exact,CONCERN_PER_1518,33
"i cannot manage adaptability to changing environments",CONCERN_PER_1518,ADAPTIVE_DEVELOPMENT,drift,exact,CONCERN_PER_1518,33
"i need help with adaptability to changing environments",CONCERN_PER_1518,ADAPTIVE_DEVELOPMENT,drift,exact,CONCERN_PER_1518,33
"dependence on external validation for confidence",CONCERN_PER_1530,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1530,48
"i struggle with dependence on external validation for confidence",CONCERN_PER_1530,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1530,40
"i have trouble with dependence on external validation for confidence",CONCERN_PER_1530,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1530,40
"i keep struggling with dependence on external validation for confidence",CONCERN_PER_1530,EMOTIONAL_DEVELOPMENT,drift,exact,CONCERN_PER_1530,35
"i need help with dependence on external validation for confidence",CONCERN_PER_1530,EMOTIONAL_DEVELOPMENT,drift,near,CONCERN_PER_1501,37
"i keep struggling with student adaptability for dynamic careers",CONCERN_PLA_1325,ADAPTIVE_LEARNING,drift,exact,CONCERN_PLA_1325,35
"i keep struggling with confusion between degree and career outcomes",CONCERN_SEL_1396,CAREER_MAPPING,drift,exact,CONCERN_SEL_1396,37
"i cannot manage confusion between degree and career outcomes",CONCERN_SEL_1396,CAREER_MAPPING,drift,exact,CONCERN_SEL_1396,37
"i need help with confusion between degree and career outcomes",CONCERN_SEL_1396,CAREER_MAPPING,drift,exact,CONCERN_SEL_1396,37
"difficulty managing distractions",CONCERN_SEL_1416,PRODUCTIVITY_COACHING,drift,exact,CONCERN_SEL_1416,28
"weak communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,42
"i struggle with communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,41
"i have trouble with communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,41
"i keep struggling with communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,36
"i cannot manage communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,36
"i need help with communication during presentations and interviews",CONCERN_SEL_1481,EXECUTIVE_COMMUNICATION,drift,exact,CONCERN_SEL_1481,36
"i struggle with awareness about behavioral patterns",CONCERN_SEL_1511,BEHAVIORAL_REFLECTION,drift,exact,CONCERN_SEL_1511,42
"i have trouble with awareness about behavioral patterns",CONCERN_SEL_1511,BEHAVIORAL_REFLECTION,drift,exact,CONCERN_SEL_1511,42
"i keep struggling with awareness about behavioral patterns",CONCERN_SEL_1511,BEHAVIORAL_REFLECTION,drift,exact,CONCERN_SEL_1511,36
"i cannot manage awareness about behavioral patterns",CONCERN_SEL_1511,BEHAVIORAL_REFLECTION,drift,exact,CONCERN_SEL_1511,36
"i need help with awareness about behavioral patterns",CONCERN_SEL_1511,BEHAVIORAL_REFLECTION,drift,exact,CONCERN_SEL_1511,36
"i struggle with identify personal growth areas",CONCERN_SEL_1528,GROWTH_MAPPING,drift,exact,CONCERN_SEL_1528,43
"i have trouble with identify personal growth areas",CONCERN_SEL_1528,GROWTH_MAPPING,drift,exact,CONCERN_SEL_1528,43
"i keep struggling with identify personal growth areas",CONCERN_SEL_1528,GROWTH_MAPPING,drift,exact,CONCERN_SEL_1528,37
"i cannot manage identify personal growth areas",CONCERN_SEL_1528,GROWTH_MAPPING,drift,exact,CONCERN_SEL_1528,37
"i need help with identify personal growth areas",CONCERN_SEL_1528,GROWTH_MAPPING,drift,exact,CONCERN_SEL_1528,37
"i struggle with clarity about personal values",CONCERN_SEL_1541,IDENTITY_FORMATION,drift,exact,CONCERN_SEL_1541,37
"i have trouble with clarity about personal values",CONCERN_SEL_1541,IDENTITY_FORMATION,drift,exact,CONCERN_SEL_1541,37
"i keep struggling with clarity about personal values",CONCERN_SEL_1541,IDENTITY_FORMATION,drift,exact,CONCERN_SEL_1541,32
"i cannot manage clarity about personal values",CONCERN_SEL_1541,IDENTITY_FORMATION,drift,exact,CONCERN_SEL_1541,32
"i need help with clarity about personal values",CONCERN_SEL_1541,IDENTITY_FORMATION,drift,exact,CONCERN_SEL_1541,32
"lack of ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,near,CONCERN_DEC_1436,41
"i struggle with ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,failure,,0
"i have trouble with ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,near,CONCERN_DEC_1436,38
"i keep struggling with ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,near,CONCERN_DEC_1436,32
"i cannot manage ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,near,CONCERN_DEC_1436,32
"i need help with ownership for personal growth",CONCERN_SEL_1545,ACCOUNTABILITY_DEVELOPMENT,drift,near,CONCERN_DEC_1436,32
"difficulty balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,41
"i struggle with balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,40
"i have trouble with balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,40
"i keep struggling with balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,35
"i cannot manage balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,35
"i need help with balancing ambition and wellbeing",CONCERN_SEL_1548,PERSONAL_SUSTAINABILITY,drift,exact,CONCERN_SEL_1548,35
"identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,50
"i struggle with identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,42
"i have trouble with identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,42
"i keep struggling with identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,37
"i cannot manage identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,37
"i need help with identity confusion during adolescence",CONCERN_SEL_1551,PERSONAL_IDENTITY,drift,exact,CONCERN_SEL_1551,37
"comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,50
"i struggle with comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,42
"i have trouble with comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,42
"i keep struggling with comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,37
"i cannot manage comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,37
"i need help with comparing career progress with peers",CONCERN_SEL_1564,CAREER_IDENTITY,drift,exact,CONCERN_SEL_1564,37
"i struggle with revision consistency",CONCERN_SEL_2019,EXAMINATION_READINESS,drift,near,CONCERN_DIS_2406,35
"i have trouble with revision consistency",CONCERN_SEL_2019,EXAMINATION_READINESS,drift,near,CONCERN_DIS_2406,35
"i struggle with concept transfer across subjects",CONCERN_SEL_2036,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_SEL_2036,42
"i have trouble with concept transfer across subjects",CONCERN_SEL_2036,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_SEL_2036,42
